id,years,image_file,answer,dim_assess,topic,conception,advice_topic,video _file
19,114,114-mq19.jpg,c,解題思考,關係,三步驟問題併式,學生在解三步驟應用題時，常因無法整合題意而無法寫出完整的三式併用。建議練習以「表格拆題法」將題目分成三段：已知量、變化量、要找的量，並逐步寫出對應算式，有助於培養解題思考與語意分析能力。,114-19.mp4
20,114,114-mq20.jpg,a,解題思考,數與計算,異分母分數,此題顯示學生在異分母分數運算的推理能力不足，可能不知道何時需要通分，也可能在比較或計算時沒有掌握分數大小的直覺。建議搭配圖像化工具進行分數比較練習，再逐步進入通分與運算，建立分數之間的量感可有效提升解題能力。,114-20.mp4
21,114,114-mq21.jpg,d,解題思考,量與實測,日常生活的的時間加減問題(含進退位),學生在處理時間加減（尤其是超過 60 分或需進退位）時容易失誤，可能缺乏對「60 進位制」的理解。建議使用時間軸或時鐘示意圖幫助理解分鐘與小時的轉換，並練習實際生活情境的題目，加強時間量之間的推理能力。,114-21.mp4
22,114,114-mq22.jpg,c,概念理解,數與計算,對小數取概數,學生在取概數時常無法掌握四捨五入的位值，顯示對小數位值系統的理解仍不夠清楚。建議先練習識別「欲取的位數」與「關鍵判斷位數」，再搭配數線理解概數的意義，透過多題練習可提升操作準確度。,114-22.mp4
23,114,114-mq23.jpg,a,程序執行,空間與形狀,正方體和長方體的體積,學生在判斷體積時容易忽略三個維度（長、寬、高）的量，或將體積公式與面積公式混淆。建議利用方塊堆疊的具體活動協助理解「體積=一層的面積×層數」，再進行公式套用與例題練習，可有效提升體積計算能力。,114-23.mp4
24,114,114-mq24.jpg,a,程序執行,數與計算,整數相除之分數表示,學生可能尚未理解「整數相除可用分數表示」的概念，因此在轉換時產生困難。建議重新複習分數的意義（表示份數與分割），並練習將除法式改寫為分數的形式，如「a÷b = a/b」。透過反覆練習，可提升整除與分數之間的連結能力。,114-24.mp4
25,114,114-mq25.jpg,c,解題思考,數與計算,分數除以整數,學生在處理分數除以整數時常忽略等值分數的觀念，也不容易理解「分數除以整數＝分母擴大倍數」。建議以圖像化方式（如分數圓或分數條）示範「將一份再分成幾份」的概念，再配合算式練習，有助於提升推理能力與運算正確度。,114-25.mp4
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
